id,channel_sales,cons_12m,cons_gas_12m,cons_last_month,date_activ,date_end,date_modif_prod,date_renewal,forecast_cons_12m,forecast_cons_year,forecast_discount_energy,forecast_meter_rent_12m,forecast_price_energy_off_peak,forecast_price_energy_peak,forecast_price_pow_off_peak,has_gas,imp_cons,margin_gross_pow_ele,margin_net_pow_ele,nb_prod_act,net_margin,num_years_antig,origin_up,pow_max,var_year_price_off_peak_var,var_year_price_peak_var,var_year_price_mid_peak_var,var_year_price_off_peak_fix,var_year_price_peak_fix,var_year_price_mid_peak_fix,var_year_price_off_peak,var_year_price_peak,var_year_price_mid_peak,var_6m_price_off_peak_var,var_6m_price_peak_var,var_6m_price_mid_peak_var,var_6m_price_off_peak_fix,var_6m_price_peak_fix,var_6m_price_mid_peak_fix,var_6m_price_off_peak,var_6m_price_peak,var_6m_price_mid_peak,churn,offpeak_diff_dec_january_energy,offpeak_diff_dec_january_power,total_consumption_12m,gas_consumption_share,last_month_consumption_share,forecast_consumption_gap,forecast_consumption_ratio,forecast_energy_price_avg,forecast_energy_price_spread,avg_year_variable_price_variation,avg_year_fixed_price_variation,avg_year_total_price_variation,avg_6m_variable_price_variation,avg_6m_fixed_price_variation,avg_6m_total_price_variation,price_variation_change_6m_vs_year,customer_tenure_days,days_until_renewal,days_since_product_modification,has_multiple_products,has_gas_customer
24011ae4ebbe3035111d65fa7c15bc57,foosdfpfkusacimwkcsosbicdxkicaua,0,54946,0,2013-06-15,2016-06-15,2015-11-01,2015-06-23,0.0,0,0.0,1.78,0.114481,0.098142,40.606701,t,0.0,25.44,25.44,2,678.99,3,lxidpiddsbxsbosboudacockeimpuepw,43.648,6.129362790151515e-05,2.6276049696969715e-05,0.0004402762588106,1.1027846956785217,49.55070278697598,22.022535052251545,1.102845989306423,49.55072906302568,22.02297532851036,0.0001314535265666,4.10083842666666e-05,0.0009084736945666,2.0862936898302333,99.53051658064774,44.23579383578343,2.0864251433568,99.530557589032,44.23670230947799,1,0.02005699999999999,3.7009605600000057,54946,1.0,,0.0,,0.1063115,-0.016339000000000006,0.00017594864546969494,24.225340844968684,24.22551679361415,0.0003603118684666222,48.617534702087134,48.617895013955604,24.392378220341453,1096,-131,227,1,1
d29c2c54acc38ff3c0614d0a653813dd,MISSING,4660,0,0,2009-08-21,2016-08-30,2009-08-21,2015-08-31,189.95,0,0.0,16.27,0.1457109999999999,0.0,44.31137796,f,0.0,16.38,16.38,1,18.89,6,kamkkxfxxuwbdslkwifmmcsiusiuosws,13.8,4.894689356060596e-06,0.0006089452740833,0.0,0.0064647789908397,0.0,0.0,0.0064696736801957,0.0006089452740833,0.0,3.350259766666641e-06,0.0012178905481666,0.0,0.00948171852,0.0,0.0,0.0094850687797667,0.0012178905481666,0.0,0,-0.0037669999999999926,0.17777879999999868,4660,0.0,0.0,-4470.05,0.040761802575107295,0.07285549999999995,-0.1457109999999999,0.0002046133211464535,0.0021549263302799,0.0023595396514263334,0.0004070802693110888,0.00316057284,0.0035676531093111,0.0012081134578847668,2566,2201,2566,0,0
764c75f661154dac3a6c254cd082ea7d,foosdfpfkusacimwkcsosbicdxkicaua,544,0,0,2010-04-16,2016-04-16,2010-04-16,2015-04-17,47.96,0,0.0,38.72,0.165794,0.087899,44.31137796,f,0.0,28.6,28.6,1,6.6,6,kamkkxfxxuwbdslkwifmmcsiusiuosws,13.856,5.738446424242413e-06,2.558511136363673e-07,0.0,0.0076618913283488,0.0,0.0,0.007667629774773,2.558511136363673e-07,0.0,3.5697306666666378e-06,9.450150000000093e-08,0.0,0.0,0.0,0.0,3.5697306666666378e-06,9.450150000000093e-08,0.0,0,-0.0046700000000000075,0.17777879999999868,544,0.0,0.0,-496.04,0.08816176470588236,0.1268465,-0.07789499999999999,1.9980991792929265e-06,0.0025539637761162665,0.0025559618752955455,1.221410722222213e-06,0.0,1.221410722222213e-06,-0.002554740464573323,2192,1827,2192,0,0
bba03439a292a1e166f80264c16191cb,lmkebamcaaclubfxadlmueccxoimlema,1584,0,0,2010-03-30,2016-03-30,2010-03-30,2015-03-31,240.04,0,0.0,19.83,0.146694,0.0,44.31137796,f,0.0,30.22,30.22,1,25.46,6,kamkkxfxxuwbdslkwifmmcsiusiuosws,13.2,5.36669481060609e-06,0.0,0.0,0.0064647208082943,0.0,0.0,0.0064700875031049,0.0,0.0,3.318240666666617e-06,0.0,0.0,0.0,0.0,0.0,3.318240666666617e-06,0.0,0.0,0,-0.0045469999999999955,0.17777879999999868,1584,0.0,0.0,-1343.96,0.15154040404040403,0.073347,-0.146694,1.7888982702020299e-06,0.0021549069360981,0.0021566958343683,1.1060802222222057e-06,0.0,1.1060802222222057e-06,-0.0021555897541460775,2192,1827,2192,0,0
149d57cf92fc41cf94415803a877cb4b,MISSING,4425,0,526,2010-01-13,2016-03-07,2010-01-13,2015-03-09,445.75,526,0.0,131.73,0.1169,0.1000149999999999,40.606701,f,52.32,44.91,44.91,1,47.98,6,kamkkxfxxuwbdslkwifmmcsiusiuosws,19.8,1.4800567515151491e-05,3.55248142424242e-06,2.5220456590909238e-06,0.0054289416934153,0.0019544190096292,0.0008686306709463,0.0054437422609305,0.0019579714910535,0.0008711527166054,1.1100320166666667e-05,2.896760166666666e-06,4.860000000000553e-10,0.0,0.0,0.0,1.1100320166666667e-05,2.896760166666666e-06,4.860000000000553e-10,0,-0.006191999999999989,0.16291560000000516,4425,0.0,0.11887005649717514,-3979.25,0.10073446327683616,0.10845749999999996,-0.016885000000000108,6.958364866161611e-06,0.002750663791330267,0.0027576221561964667,4.665855444444444e-06,0.0,4.665855444444444e-06,-0.0027529563007520222,2245,1881,2245,0,0
1aa498825382410b098937d65c4ec26d,usilxuppasemubllopkaafesmlibmsdf,8302,0,1998,2011-12-09,2016-12-09,2015-11-01,2015-12-10,796.94,1998,0.0,30.12,0.164775,0.086131,45.30837756,f,181.21,33.12,33.12,1,118.89,4,lxidpiddsbxsbosboudacockeimpuepw,13.2,1.321997281060616e-05,3.4529359090907487e-06,0.0,3.8181818111259284e-13,0.0,0.0,1.3219973192424342e-05,3.4529359090907487e-06,0.0,1.036078536666661e-05,4.240523999999899e-06,0.0,0.0,0.0,0.0,1.036078536666661e-05,4.240523999999899e-06,0.0,1,-0.00808700000000001,-1.1999999998124622e-06,8302,0.0,0.24066490002409058,-7505.0599999999995,0.09599373644904843,0.125453,-0.078644,5.557636239898969e-06,1.2727272703753094e-13,5.557636367171697e-06,4.86710312222217e-06,0.0,4.86710312222217e-06,-6.905332449495276e-07,1827,39,404,0,0
7ab4bf4878d8f7661dfc20e9b8e18011,foosdfpfkusacimwkcsosbicdxkicaua,45097,0,0,2011-12-02,2016-12-02,2011-12-02,2015-12-03,8069.28,0,0.0,0.0,0.166178,0.087538,44.31137796,f,0.0,4.04,4.04,1,346.63,4,lxidpiddsbxsbosboudacockeimpuepw,15.0,5.679116969697228e-06,1.5034329545458559e-07,0.0,0.0,0.0,0.0,5.679116969697228e-06,1.5034329545458559e-07,0.0,3.569730666666869e-06,9.450150000002215e-08,0.0,0.0,0.0,0.0,3.569730666666869e-06,9.450150000002215e-08,0.0,1,-0.004628000000000104,0.0,45097,0.0,0.0,-37027.72,0.17893163625074837,0.126858,-0.07863999999999999,1.943153421717271e-06,0.0,1.943153421717271e-06,1.221410722222297e-06,0.0,1.221410722222297e-06,-7.217426994949741e-07,1827,1462,1827,0,0
01495c955be7ec5e7f3203406785aae0,foosdfpfkusacimwkcsosbicdxkicaua,29552,0,1260,2010-04-21,2016-04-21,2010-04-21,2015-04-22,864.73,751,0.0,144.49,0.115174,0.098837,40.606701,f,70.63,53.92,53.92,1,100.09,6,lxidpiddsbxsbosboudacockeimpuepw,26.4,1.6800727537878678e-05,3.3982987499998823e-06,2.1826788787878687e-06,0.0064343012662695,0.0023163484558568,0.001029488202603,0.0064511019938074,0.0023197467546068,0.0010316708814818,1.110032016666668e-05,2.896760166666548e-06,4.860000000000553e-10,0.0,0.0,0.0,1.110032016666668e-05,2.896760166666548e-06,4.860000000000553e-10,0,-0.007801000000000002,0.16291560000000516,29552,0.0,0.0426367081754196,-28687.27,0.029261302111532213,0.1070055,-0.016337000000000004,7.460568388888809e-06,0.003260045974909767,0.0032675065432986664,4.665855444444409e-06,0.0,4.665855444444409e-06,-0.003262840687854222,2192,1827,2192,0,0
f53a254b1115634330c12c7fdbf7958a,usilxuppasemubllopkaafesmlibmsdf,2962,0,0,2011-09-23,2016-09-23,2011-09-23,2015-09-25,444.38,0,0.0,15.85,0.1457109999999999,0.0,44.31137796,f,0.0,12.82,12.82,1,42.59,4,kamkkxfxxuwbdslkwifmmcsiusiuosws,13.2,4.391109356060598e-06,0.0,0.0,0.0064647692938031,0.0,0.0,0.0064691604031591,0.0,0.0,2.842930166666625e-06,0.0,0.0,0.00948171852,0.0,0.0,0.0094845614501667,0.0,0.0,0,-0.0037669999999999926,0.17777879999999868,2962,0.0,0.0,-2517.62,0.1500270087778528,0.07285549999999995,-0.1457109999999999,1.4637031186868662e-06,0.0021549230979343668,0.002156386801053033,9.47643388888875e-07,0.00316057284,0.0031615204833889,0.0010051336823358667,1827,1463,1827,0,0
10c1b2f97a2d2a6f10299dc213d1a370,lmkebamcaaclubfxadlmueccxoimlema,26064,0,2188,2010-05-04,2016-05-04,2015-04-29,2015-05-05,2738.1,2188,0.0,130.43,0.1157609999999999,0.099419,40.606701,f,219.59,33.42,33.42,1,329.6,6,lxidpiddsbxsbosboudacockeimpuepw,31.5,1.706805687878792e-05,3.3759960833333077e-06,3.076903878787866e-06,0.0,0.0,0.0,1.706805687878792e-05,3.3759960833333077e-06,3.076903878787866e-06,1.110032016666668e-05,2.896760166666666e-06,4.860000000000553e-10,0.0,0.0,0.0,1.110032016666668e-05,2.896760166666666e-06,4.860000000000553e-10,0,-0.0071370000000000045,0.0,26064,0.0,0.08394720687538366,-23325.9,0.10505294659300184,0.10758999999999995,-0.016341999999999912,7.840318946969699e-06,0.0,7.840318946969699e-06,4.665855444444449e-06,0.0,4.665855444444449e-06,-3.17446350252525e-06,2192,6,371,0,0
